"RowName","Distance"
"Weesp                                   ",14049.5470101352
"Castricum                               ",14098.6148330253
"Oirschot                                ",3025.6169717927
"Haarlemmermeer                          ",3403.85048290902
"Zaanstad                                ",3495.19013645896
"Duiven                                  ",3923.67686997795
"Nieuwegein                              ",3999.44135223908
"Tubbergen                               ",4174.4139924066
"Delft                                   ",4347.85200185103
"Borsele                                 ",4384.51286803905
"Ommen                                   ",4430.86528682604
"Voorst                                  ",4756.5015620727
"Cranendonck                             ",2502.43322188625
"Waalwijk                                ",2858.76233010021
"Uitgeest                                ",3155.84921376165
"Oldebroek                               ",3206.89351553805
"Leudal                                  ",3888.60876406974
"Aalsmeer                                ",4196.97105303337
"Simpelveld                              ",4246.29006663464
"Valkenburg aan de Geul                  ",4392.17942256461
"Voorst                                  ",4732.33156699739
"Reimerswaal                             ",4808.55894005678
"Doetinchem                              ",2430.55021960049
"Druten                                  ",2825.05452336765
"Gennep                                  ",2987.24036696078
"Wageningen                              ",3487.78786482206
"Wijdemeren                              ",3693.90404450359
"Albrandswaard                           ",3744.49850046705
"Goes                                    ",3791.66296102383
"Baarn                                   ",3897.47894670388
"Lochem                                  ",4004.43392129275
"Losser                                  ",4134.47436199573
"Tholen                                  ",3330.45358922775
"Zwartewaterland                         ",5808.33522190309
"Houten                                  ",5823.63168907512
"Geertruidenberg                         ",5916.15813852199
"Hattem                                  ",6971.79324349195
"Gooise Meren                            ",7339.65476436051
"Veere                                   ",7558.38382790924
"Ermelo                                  ",7598.96014267742
"Hellendoorn                             ",7987.99044628873
"Texel                                   ",8460.7434094174
"Noordoostpolder                         ",3561.26567107819
"Ermelo                                  ",4249.63881524066
"Reusel-De Mierden                       ",4836.29147488031
"Wierden                                 ",5171.3421110965
"Nieuwkoop                               ",5300.73269369433
"Heumen                                  ",5462.05593343752
"Zoeterwoude                             ",6090.93909344035
"Smallingerland                          ",6539.39600345475
"Zeist                                   ",6585.63430506128
"Tholen                                  ",6628.58397397212
"Coevorden                               ",951.330710110843
"Eemsdelta                               ",1824.09739323316
"Soest                                   ",1832.65495934177
"West Betuwe                             ",2232.94002158589
"Bronckhorst                             ",2333.27647740254
"Rijswijk                                ",2957.11374485325
"Dordrecht                               ",3045.1786778447
"Dalfsen                                 ",3467.44807170922
"Heemstede                               ",3575.8887314904
"Winterswijk                             ",3660.41945547228
"Harlingen                               ",2068.12209987708
"Lansingerland                           ",2155.7022220149
"Landgraaf                               ",2197.22190731842
"Tytsjerksteradiel                       ",2588.80572465374
"Dinkelland                              ",2823.44720864407
"Vlissingen                              ",3312.25277115138
"Beesel                                  ",3374.05113920936
"Schagen                                 ",3505.87036411787
"Schouwen-Duiveland                      ",3597.03991915575
"Oude IJsselstreek                       ",3966.39245284679
"Noordwijk                               ",2620.37902029458
"Goes                                    ",2687.59484297764
"Wijdemeren                              ",2781.30636212554
"Lochem                                  ",3084.2547073807
"Maasdriel                               ",3560.40680400428
"Baarn                                   ",3601.68794456155
"Krimpenerwaard                          ",3664.84653021105
"Druten                                  ",3857.49804536567
"Borger-Odoorn                           ",4057.25735318823
"Heeze-Leende                            ",4212.1570542894
"Echt-Susteren                           ",3258.7689531478
"Berg en Dal                             ",4298.73145358023
"Beekdaelen                              ",4990.95472730419
"Ridderkerk                              ",5059.25628230079
"Capelle aan den IJssel                  ",5065.30800445541
"Borsele                                 ",5176.26458558679
"Molenlanden                             ",5248.48512048953
"Meierijstad                             ",5460.05449606503
"Oirschot                                ",5691.40528780019
"Tubbergen                               ",5733.8686791729
"Ouder-Amstel                            ",1658.18766730428
"Landgraaf                               ",2119.64570624432
"Oostzaan                                ",2136.28961051633
"Ede                                     ",2619.47539213485
"Harlingen                               ",2859.33428440957
"Vlissingen                              ",3104.10596307536
"Zoetermeer                              ",3220.31893296301
"Peel en Maas                            ",3233.49831451943
"Schagen                                 ",3316.35050921943
"Utrechtse Heuvelrug                     ",3404.7266747861
"Aa en Hunze                             ",673.522301041324
"Westervoort                             ",1685.47115964646
"Sliedrecht                              ",5823.60388676977
"Zandvoort                               ",6423.27646454674
"Oosterhout                              ",7504.47130782709
"Woerden                                 ",7576.40726796019
"Westland                                ",7677.13417884565
"Westerkwartier                          ",9033.63062173786
"Opmeer                                  ",9691.64968258758
