"","AantalInwoners_5","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","InBezitWoningcorporatie_42","InBezitOverigeVerhuurders_43","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","BedrijfsvestigingenTotaal_91","ALandbouwBosbouwEnVisserij_92","BFNijverheidEnEnergie_93","GIHandelEnHoreca_94","HJVervoerInformatieEnCommunicatie_95","KLFinancieleDienstenOnroerendGoed_96","MNZakelijkeDienstverlening_97","OQOverheidOnderwijsEnZorg_98","RUCultuurRecreatieOverigeDiensten_99","AfstandTotHuisartsenpraktijk_106","AfstandTotGroteSupermarkt_107","AfstandTotKinderdagverblijf_108","OppervlakteTotaal_111","OppervlakteLand_112","OppervlakteWater_113","MateVanStedelijkheid_116","Omgevingsadressendichtheid_117","Cluster"
"Gescheiden_15",0.990033793673841,0.989921673697499,0.989961467301998,0.982366102574967,0.969792840080702,0.97613985321098,0.99158458477112,0.981148080123387,0.980426093936035,0.972858230769226,1,0.986513307747829,0.967356513803731,0.984241575824052,0.987937650336936,-0.37404699597013,0.523971058795354,-0.6137197864412,0.6137197864412,-0.0237943852316471,0.0237943852316471,-0.580777365236292,0.579898336356261,0.417878746646665,0.414588124312577,0.00776300712986166,-0.00776300712986166,0.958339765456987,0.276023603074897,0.931565841601854,0.969233271823517,0.905858139881439,0.911694482766756,0.931480571412333,0.967750525096546,0.916323406841392,-0.272806354490746,-0.270104697352676,-0.351286302699705,0.113790003968151,0.131554983358083,0.0444645971352651,-0.467408080124432,0.704964691193813,-0.147914858069124
"HuishoudensTotaal_28",0.996686921088369,0.996526676234767,0.99666072457335,0.981767849611048,0.990492194150551,0.995297336341418,0.988297303009833,0.970062055727447,0.998202156162551,0.964104043627206,0.986513307747829,1,0.992125738505409,0.99374816566599,0.982369301303412,-0.365634936244654,0.518193662552076,-0.608551385461589,0.608551385461589,-0.0236851526019006,0.0236851526019007,-0.57392503102194,0.573391133447808,0.395156650640925,0.434574562517996,-0.0156476650626942,0.0156476650626942,0.980081784429304,0.259580614342761,0.903322111191012,0.984533501074003,0.941584717379047,0.942738500294601,0.962675507503448,0.988138249135964,0.952128486314749,-0.259668625134133,-0.253869345640233,-0.33484195334999,0.111141326654514,0.13824812403322,0.0310560718085231,-0.448166557371602,0.703284119442021,-0.136862693617513
"Eenpersoonshuishoudens_29",0.97897016770841,0.978683989897775,0.979071164343539,0.954242799241312,0.982290711864896,0.990151784898299,0.96247635438579,0.939828254700566,0.992011868700476,0.924289652126882,0.967356513803731,0.992125738505409,1,0.975842977710786,0.952693566796253,-0.389580840920087,0.512373890434718,-0.609037482612397,0.609037482612397,-0.052253652354708,0.052253652354708,-0.577701979570981,0.576732763883969,0.379400325040856,0.461829715686698,0.00723339830629206,-0.00723339830629207,0.978579360715784,0.21781305572529,0.870848425511534,0.97734548113791,0.952594534279878,0.942827718887395,0.969017819164104,0.98386705026813,0.965308261096333,-0.251155231213584,-0.246051125499214,-0.316446738556717,0.0876349782406671,0.104638414453012,0.0300324279971676,-0.424607773759298,0.695000943783851,-0.0957451308191088
"HuishoudensZonderKinderen_30",0.995649091285521,0.995720150611498,0.99539547111575,0.981645755560885,0.984682957705951,0.984077254347265,0.993187048601041,0.985659183226146,0.988128075281644,0.980821345149651,0.984241575824052,0.99374816566599,0.975842977710786,1,0.985274351511249,-0.367503065283232,0.500663648951317,-0.594755047382628,0.594755047382628,-0.00179025919682798,0.00179025919682796,-0.569683637862276,0.569560852015319,0.40903876660253,0.408485037011295,-0.00874605569869533,0.00874605569869532,0.966799770786734,0.279749232802258,0.897926274387275,0.97882398909173,0.921016630471758,0.934113525519998,0.944734962604106,0.976716613596766,0.933186523773735,-0.253959477126737,-0.248043708432765,-0.335659266149418,0.145817747215655,0.189516100634613,0.0304267116539258,-0.456745993220278,0.695423480884174,-0.174820524202169
"HuishoudensMetKinderen_31",0.993886497367278,0.993781613782672,0.993806339204369,0.997801639593887,0.973486222678692,0.97674243961731,0.996544972308858,0.978535764418507,0.980597033739133,0.990455269639146,0.987937650336936,0.982369301303412,0.952693566796253,0.985274351511249,1,-0.303617765633512,0.524492423193612,-0.596009526253171,0.596009526253171,0.0141928493542144,-0.0141928493542144,-0.548255326442034,0.548239824179885,0.398933270399686,0.387093569606933,-0.065284486169304,0.0652844861693039,0.956776869356576,0.313715928278188,0.936406893257519,0.965703880316108,0.901612960456802,0.913840622770048,0.92874035032761,0.968329780283652,0.906170134466105,-0.27109349895241,-0.264264708641945,-0.357068555570148,0.123259429982163,0.154940197559979,0.0323879534131474,-0.469537405863997,0.699136157545719,-0.179411601870569
"GemiddeldeHuishoudensgrootte_32",-0.338845071099563,-0.337591239527817,-0.340016389568024,-0.28760183259272,-0.359721862034687,-0.326718407482,-0.334838269810417,-0.383636382026439,-0.33934694679516,-0.306947167155296,-0.37404699597013,-0.365634936244654,-0.389580840920087,-0.367503065283232,-0.303617765633512,1,-0.325341984058092,0.561938339983368,-0.561938339983368,0.372501334338721,-0.372501334338721,0.701228178172298,-0.691141609276725,-0.467431365350608,-0.537839635120938,-0.456818740574079,0.456818740574079,-0.29165352945011,0.13294402347598,-0.226095184130126,-0.308910492990389,-0.272218480205078,-0.246763306624568,-0.291094265100558,-0.341582606013979,-0.295611164350047,0.216717368686346,0.284743706574378,0.247403180578626,-0.0706039873266198,0.030451974317197,-0.16975427466035,0.369606145245478,-0.450166183821676,0.0480758426853847
"Bevolkingsdichtheid_33",0.518736375693733,0.5158059416903,0.521524367233983,0.529193044447819,0.5119940353284,0.513775283223287,0.51109151142528,0.504488693120992,0.515305137065342,0.507448593567613,0.523971058795354,0.518193662552076,0.512373890434718,0.500663648951317,0.524492423193612,-0.325341984058092,1,-0.789528006247906,0.789528006247906,0.0785358646458297,-0.0785358646458297,-0.612101387337934,0.61461840787089,0.501734451512754,0.356150723285319,-0.01159205751337,0.01159205751337,0.478670927754466,-0.0974149464382256,0.48553659223953,0.462974819230888,0.455804054764401,0.436656414882753,0.479143493263798,0.51735048249956,0.444008656499486,-0.526170140294475,-0.53495403562193,-0.613799414633892,-0.332255434572572,-0.389699759086917,-0.122750913991431,-0.743988702372669,0.849462622501023,-0.182285254028498
"PercentageEengezinswoning_36",-0.602695622207386,-0.599545082272609,-0.605684719010338,-0.597923025641652,-0.608722612206959,-0.589214256146367,-0.592762829365254,-0.609590431409819,-0.59745020759439,-0.586496196851412,-0.6137197864412,-0.608551385461589,-0.609037482612397,-0.594755047382628,-0.596009526253171,0.561938339983368,-0.789528006247906,1,-1,0.102856551440834,-0.102856551440834,0.836817696108375,-0.838034549674039,-0.592100005612949,-0.61387385193644,-0.0954163932301538,0.0954163932301537,-0.551381258137865,0.102690405843184,-0.523187414841721,-0.552496592754746,-0.520046768626617,-0.517712273309715,-0.549893386592231,-0.596112942468735,-0.518309229915191,0.522222955247501,0.542251797945261,0.595506493163351,0.23419842665065,0.285934253316735,0.0722568665029575,0.806002085378049,-0.903488444391803,0.225706183665786
"PercentageMeergezinswoning_37",0.602695622207386,0.599545082272609,0.605684719010338,0.597923025641652,0.608722612206959,0.589214256146367,0.592762829365254,0.609590431409819,0.59745020759439,0.586496196851412,0.6137197864412,0.608551385461589,0.609037482612397,0.594755047382628,0.596009526253171,-0.561938339983368,0.789528006247906,-1,1,-0.102856551440834,0.102856551440834,-0.836817696108375,0.838034549674039,0.592100005612949,0.61387385193644,0.0954163932301538,-0.0954163932301537,0.551381258137865,-0.102690405843184,0.523187414841721,0.552496592754746,0.520046768626617,0.517712273309715,0.549893386592231,0.596112942468735,0.518309229915191,-0.522222955247501,-0.542251797945261,-0.595506493163351,-0.23419842665065,-0.285934253316735,-0.0722568665029575,-0.806002085378049,0.903488444391803,-0.225706183665786
"PercentageBewoond_38",-0.00591406240208007,-0.00523456397517254,-0.00658163244679437,0.00913632499836647,-0.0082169444621481,-0.0240037046424593,0.00527161362136773,0.00336027920355688,-0.0221347640630277,0.0340569900406728,-0.0237943852316471,-0.0236851526019006,-0.052253652354708,-0.00179025919682798,0.0141928493542144,0.372501334338721,0.0785358646458297,0.102856551440834,-0.102856551440834,1,-1,0.153032157032464,-0.121011403128251,0.113167548152524,-0.376982764818612,-0.210279093079701,0.2102790930797,-0.0371373223093232,-0.0366067221265748,-0.00921701376185357,-0.033668120244034,-0.0457433576152809,-0.0276043311656431,-0.0430149794736774,-0.0280959010783179,-0.0496757127304771,-0.16155164904429,-0.0386991463427204,-0.166988211310131,-0.212788058024538,-0.0932841226639964,-0.276860325638902,-0.169611146623075,0.0852953979520725,-0.0155483753245763
