Regio;Percentage hoog-risicojongeren
Noordwijk;5.1
Nuenen, Gerwen en Nederwetten;3.2
Nunspeet;2.9
Oegstgeest;3.3
Oirschot;2.7
Oisterwijk;4.8
Oldambt;4.9
Oldebroek;3.4
Oldenzaal;4.4
Olst-Wijhe;2.5
Ommen;2.1
Oost Gelre;3.7
Oosterhout;6.1
Ooststellingwerf;3
Oostzaan;4.1
Opmeer;2.5
Opsterland;2.1
Oss;5.6
Oude IJsselstreek;3.8
Ouder-Amstel;3.8
Oudewater;2.7
Overbetuwe;4.1
Papendrecht;6.8
Peel en Maas;3.4
Pekela;5.1
Pijnacker-Nootdorp;3
Purmerend;7
Putten;3.1
Raalte;3.4
Reimerswaal;3.8
Renkum;3.5
Renswoude;2.7
Reusel-De Mierden;2.9
Rheden;5.8
Rhenen;3
Ridderkerk;6.1
Rijssen-Holten;2.9
Rijswijk;5.6
Roerdalen;4.5
Roermond;7.1
Roosendaal;7.2
Rotterdam;9.1
Rucphen;4.7
Schagen;3.5
Scherpenzeel;3.8
Schiedam;6.6
Schouwen-Duiveland;5.4
Simpelveld;3.8
Sint Anthonis;1.5
Sint-Michielsgestel;3.3
Sittard-Geleen;6.2
Sliedrecht;5.5
Sluis;4.4
Smallingerland;5.7
Soest;4.6
Someren;3.6
Son en Breugel;3.2
Stadskanaal;5
Staphorst;2
Stede Broec;3.4
Steenbergen;5.2
Steenwijkerland;3.7
Stein;4.5
Stichtse Vecht;3.2
Súdwest-Fryslân;4.2
Terneuzen;6.2
Terschelling;4.4
Texel;4.1
Teylingen;4.3
Tholen;4.1
Tiel;5.9
Tilburg;5.9
Tubbergen;1.4
Twenterand;4.3
Tynaarlo;3.2
Tytsjerksteradiel;3.6
Uden;5.5
Uitgeest;4.4
Uithoorn;5
Urk;3.8
Utrecht;5.5
Utrechtse Heuvelrug;3.5
Vaals;3.7
Valkenburg aan de Geul;4.3
Valkenswaard;5.6
Veendam;5.1
Veenendaal;4.9
Veere;3.6
Veldhoven;5.2
Velsen;5.1
Venlo;6.6
Venray;3.9
Vijfheerenlanden;4.9
Vlaardingen;7.8
Vlieland;6
Vlissingen;7
Voerendaal;2.7
Voorschoten;4
Voorst;3.9
Vught;4
Waadhoeke;3.6
Waalre;3.7
Waalwijk;5.7
Waddinxveen;5
Wageningen;2.1
Wassenaar;2.9
Waterland;2
Weert;5.6
Weesp;3.8
West Betuwe;3.4
West Maas en Waal;2.5
Westerkwartier;3.3
Westerveld;2.2
Westervoort;5.9
Westerwolde;3.5
Westland;4
Weststellingwerf;2.6
Westvoorne;2.5
Wierden;3.2
Wijchen;3.2
Wijdemeren;1.4
Wijk bij Duurstede;3
Winterswijk;5.2
Woensdrecht;6.3
Woerden;3.5
Wormerland;5.2
Woudenberg;2.7
Zaanstad;7.1
Zaltbommel;4
Zandvoort;6.9
Zeewolde;4.1
Zeist;4.3
Zevenaar;3.5
Zoetermeer;7
Zoeterwoude;3.1
Zuidplas;4.5
Zundert;3.2
Zutphen;4.8
Zwartewaterland;3.5
Zwijndrecht;5.1
Zwolle;4.4
Rozendaal;
Schiermonnikoog;
