ID;WijkenEnBuurten;Gemeentenaam_1;PercentageEengezinswoning_36;PercentageMeergezinswoning_37;BouwjaarVoor2000_45;BouwjaarVanaf2000_46;AfstandTotHuisartsenpraktijk_105;AfstandTotGroteSupermarkt_106;AfstandTotKinderdagverblijf_107;AfstandTotSchool_108;MateVanStedelijkheid_115;Omgevingsadressendichtheid_116
8879;GM0547;Leiderdorp                              ;60;40;90;10;1.0;0.9;0.5;0.6;2;2449
8899;GM1916;Leidschendam-Voorburg                   ;39;61;92;8;0.7;0.7;0.5;0.6;1;2888
8956;GM0995;Lelystad                                ;83;17;80;20;1.1;1.0;0.8;0.9;3;1369
9136;GM1640;Leudal                                  ;88;12;89;11;1.0;1.1;1.2;1.0;5;383
9185;GM0327;Leusden                                 ;81;19;84;16;0.8;1.0;0.8;0.8;3;1243
9220;GM1705;Lingewaard                              ;83;17;78;22;0.9;0.8;0.7;0.8;4;948
9250;GM0553;Lisse                                   ;69;31;85;15;0.7;0.8;0.7;0.6;2;1620
9277;GM0262;Lochem                                  ;84;16;83;17;1.6;1.3;1.0;1.1;4;594
9320;GM0809;Loon op Zand                            ;82;18;83;17;0.8;1.0;0.5;0.5;3;1058
9357;GM0331;Lopik                                   ;87;13;84;16;1.6;2.0;1.0;0.9;5;366
9373;GM0024;Loppersum                               ;91;9;92;8;2.0;2.5;1.4;1.4;5;213
9401;GM0168;Losser                                  ;85;15;82;18;1.2;1.1;1.1;0.8;4;741
9420;GM0263;Maasdriel                               ;91;9;84;16;1.0;1.4;0.7;0.8;5;484
9450;GM1641;Maasgouw                                ;87;13;90;10;0.8;1.5;0.8;0.8;5;435
9475;GM0556;Maassluis                               ;50;50;84;16;1.4;0.9;0.5;0.6;2;1981
9503;GM0935;Maastricht                              ;52;48;92;8;0.6;0.7;0.6;0.6;2;2451
9555;GM0420;Medemblik                               ;86;14;82;18;1.2;1.1;0.8;0.7;4;520
9633;GM0938;Meerssen                                ;83;17;95;5;0.8;1.0;0.7;0.9;4;614
9651;GM1948;Meierijstad                             ;83;17;82;18;1.3;1.2;0.6;0.8;4;981
9749;GM0119;Meppel                                  ;74;26;80;20;1.0;0.9;0.9;1.0;3;1267
9810;GM0687;Middelburg                              ;70;30;86;14;0.8;0.8;0.6;0.7;2;1740
9841;GM1842;Midden-Delfland                         ;77;23;76;24;0.8;0.8;0.6;0.7;3;1322
9857;GM1731;Midden-Drenthe                          ;89;11;86;14;2.5;1.7;1.1;1.2;5;401
9923;GM1952;Midden-Groningen                        ;80;20;85;15;1.3;1.2;0.9;0.8;4;852
10036;GM0815;Mill en Sint Hubert                     ;90;10;88;12;2.0;2.2;1.8;1.0;5;316
10056;GM1709;Moerdijk                                ;87;13;86;14;1.2;1.4;0.7;0.7;4;749
10107;GM1978;Molenlanden                             ;89;11;85;15;1.1;1.4;0.8;0.8;5;393
10242;GM1955;Montferland                             ;82;18;84;16;1.1;0.9;0.9;0.8;4;758
10273;GM0335;Montfoort                               ;85;15;87;13;1.0;0.9;0.7;0.7;4;747
10289;GM0944;Mook en Middelaar                       ;86;14;88;12;1.0;1.0;0.7;0.7;5;423
10297;GM1740;Neder-Betuwe                            ;92;8;82;18;1.1;1.1;0.8;0.7;5;435
10319;GM0946;Nederweert                              ;88;12;80;20;1.4;1.4;0.8;0.9;4;636
10340;GM0356;Nieuwegein                              ;62;38;92;8;0.8;0.7;0.5;0.6;2;1931
10385;GM0569;Nieuwkoop                               ;87;13;81;19;1.2;1.0;0.9;1.2;4;501
10417;GM0267;Nijkerk                                 ;83;17;77;23;1.1;0.9;0.7;0.8;3;1111
10456;GM0268;Nijmegen                                ;54;46;82;18;0.8;0.7;0.5;0.6;2;2390
10510;GM1930;Nissewaard                              ;68;32;88;12;0.8;0.8;0.7;0.6;2;2038
10623;GM1970;Noardeast-Frysl‰n                       ;90;10;90;10;1.6;1.5;0.9;0.8;5;449
10736;GM1695;Noord-Beveland                          ;91;9;84;16;1.4;1.1;1.2;1.1;5;227
10757;GM1699;Noordenveld                             ;87;13;88;12;1.5;1.5;1.1;1.0;4;675
10798;GM0171;Noordoostpolder                         ;87;13;84;16;2.2;1.4;1.0;1.0;4;741
10860;GM0575;Noordwijk                               ;65;35;80;20;0.8;0.7;0.6;0.6;3;1385
10880;GM0820;Nuenen, Gerwen en Nederwetten           ;87;13;89;11;1.2;1.1;0.8;0.8;3;1113
10894;GM0302;Nunspeet                                ;83;17;82;18;1.3;1.1;0.9;0.8;4;785
10911;GM0579;Oegstgeest                              ;65;35;78;22;0.8;0.6;0.5;0.6;2;1745
10925;GM0823;Oirschot                                ;85;15;83;17;1.4;1.5;1.0;1.1;4;612
10945;GM0824;Oisterwijk                              ;81;19;84;16;1.4;0.7;0.6;0.7;4;998
10986;GM1895;Oldambt                                 ;82;18;88;12;2.1;1.2;0.9;0.9;4;830
11048;GM0269;Oldebroek                               ;85;15;80;20;1.5;1.5;0.8;0.8;4;639
11078;GM0173;Oldenzaal                               ;77;23;88;12;1.0;0.8;0.6;0.8;3;1454
